target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,699024,823008,689818,1,Leo Bernal,St. Louis Cardinals,Chicago White Sox,David Sandlin,5,Busch Stadium,70.0,10.0,Elite,8.9,9.5,9.9,9.5,4.2,6.6,6.0,82.58,5.840887400000001,302.0,8.9,7.6,9.9,9.9,Pitcher vulnerability + Pitch-type matchup,False,0.8634722222222222,0.8634722222222222
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,676475,823008,689818,2,Alec Burleson,St. Louis Cardinals,Chicago White Sox,David Sandlin,3,Busch Stadium,70.0,10.0,Elite,9.2,8.2,9.9,8.2,4.2,6.6,8.0,82.58,5.840887400000001,302.0,6.3,6.3,9.4,7.3,Pitcher vulnerability + Hitter skill,False,0.8337499999999998,0.8337499999999998
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,695578,822682,680570,3,James Wood,Washington Nationals,Los Angeles Angels,Grayson Rodriguez,1,Nationals Park,105.0,9.9,Elite,9.3,8.6,8.6,8.6,5.7,6.5,10.0,83.12,4.0389115,270.0,3.4,8.2,8.0,10.0,Lineup context + Hitter skill,False,0.8277777777777777,0.8277777777777777
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,621566,824869,691725,4,Matt Olson,Atlanta Braves,Philadelphia Phillies,Andrew Painter,3,Truist Park,100.0,9.9,Elite,9.5,7.4,9.2,7.4,5.5,6.5,8.0,82.4,4.7224196,301.0,6.7,5.5,9.4,9.1,Hitter skill + Pitcher vulnerability,False,0.8234722222222222,0.8234722222222222
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,804668,824628,571510,5,Rafael Flores Jr.,Pittsburgh Pirates,Chicago Cubs,Matthew Boyd,4,Wrigley Field,107.0,9.9,Elite,9.7,9.5,7.7,9.5,5.8,6.7,7.0,71.96,10.8118554,7.0,7.7,8.6,7.1,7.4,Hitter skill + Pitch-type matchup,False,0.821111111111111,0.821111111111111
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,671277,823495,681035,6,Luis García Jr.,New York Yankees,New York Mets,Christian Scott,4,Yankee Stadium,117.0,9.8,Elite,9.9,9.8,6.1,9.8,6.3,6.5,7.0,73.4,3.4175405,349.0,9.3,9.7,8.7,7.6,Hitter skill + Pitch-type matchup,False,0.80875,0.80875
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,682829,823734,688107,7,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,Robert Gasser,2,American Family Field,88.0,9.8,Elite,9.8,5.2,8.3,5.2,5.0,6.1,9.0,69.08,12.1167345,286.0,9.8,9.8,8.2,9.9,Hitter skill + Recent power,False,0.8015277777777777,0.8015277777777777
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,686797,823658,676440,8,Brooks Lee,Minnesota Twins,Cleveland Guardians,Tanner Bibee,2,Target Field,113.0,9.8,Elite,9.3,9.3,7.4,9.3,6.1,6.0,9.0,68.18,8.326371400000001,278.0,3.4,8.6,9.5,6.7,Hitter skill + Pitch-type matchup,False,0.7941666666666666,0.7941666666666666
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,665742,823495,693645,9,Juan Soto,New York Mets,New York Yankees,Cam Schlittler,2,Yankee Stadium,117.0,9.7,Elite,9.3,9.3,6.4,9.3,6.3,6.5,9.0,73.4,3.4175405,349.0,8.4,7.9,7.3,9.7,Hitter skill + Pitch-type matchup,False,0.7915277777777778,0.7915277777777778
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,691023,823008,689818,10,Jordan Walker,St. Louis Cardinals,Chicago White Sox,David Sandlin,4,Busch Stadium,70.0,9.7,Elite,8.3,8.3,9.9,8.3,4.2,6.6,7.0,82.58,5.840887400000001,302.0,3.4,5.3,9.4,8.9,Pitcher vulnerability + Hitter skill,False,0.7902777777777777,0.7902777777777777
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,663886,823734,688107,11,Tyler Stephenson,Cincinnati Reds,Milwaukee Brewers,Robert Gasser,5,American Family Field,88.0,9.7,Elite,9.9,7.3,8.3,7.3,5.0,6.1,6.0,69.08,12.1167345,286.0,3.4,10.0,9.8,5.9,Hitter skill + Pitcher vulnerability,False,0.7873611111111112,0.7873611111111112
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,691181,823658,676440,12,Emmanuel Rodriguez,Minnesota Twins,Cleveland Guardians,Tanner Bibee,7,Target Field,113.0,9.6,Elite,8.1,10.0,7.4,10.0,6.1,6.0,4.0,68.18,8.326371400000001,278.0,10.0,10.0,10.0,10.0,Pitch-type matchup + Recent power,False,0.7872222222222223,0.7872222222222223
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,668804,824628,571510,13,Bryan Reynolds,Pittsburgh Pirates,Chicago Cubs,Matthew Boyd,3,Wrigley Field,107.0,9.6,Elite,9.5,6.5,7.7,6.5,5.8,6.7,8.0,71.96,10.8118554,7.0,6.3,9.4,9.0,9.7,Hitter skill + Lineup context,False,0.7849999999999999,0.7849999999999999
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,553993,823734,688107,14,Eugenio Suárez,Cincinnati Reds,Milwaukee Brewers,Robert Gasser,4,American Family Field,88.0,9.6,Elite,8.9,9.3,8.3,9.3,5.0,6.1,7.0,69.08,12.1167345,286.0,9.1,7.7,2.7,6.6,Pitch-type matchup + Recent power,False,0.7804166666666666,0.7804166666666666
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,695336,823008,689818,15,Thomas Saggese,St. Louis Cardinals,Chicago White Sox,David Sandlin,7,Busch Stadium,70.0,9.5,Elite,8.4,8.9,9.9,8.9,4.2,6.6,4.0,82.58,5.840887400000001,302.0,3.4,7.4,4.7,9.5,Pitcher vulnerability + Pitch-type matchup,False,0.7786111111111113,0.7786111111111113
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,665833,824628,571510,16,Oneil Cruz,Pittsburgh Pirates,Chicago Cubs,Matthew Boyd,2,Wrigley Field,107.0,9.5,Elite,9.8,7.9,7.7,7.9,5.8,6.7,9.0,71.96,10.8118554,7.0,6.7,6.9,2.7,7.2,Hitter skill + Lineup context,False,0.778472222222222,0.778472222222222
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,641355,823495,681035,17,Cody Bellinger,New York Yankees,New York Mets,Christian Scott,2,Yankee Stadium,117.0,9.4,Excellent,10.0,7.3,6.1,7.3,6.3,6.5,9.0,73.4,3.4175405,349.0,9.8,8.2,8.5,8.0,Hitter skill + Recent power,False,0.7781944444444444,0.7781944444444444
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,671739,824869,691725,18,Michael Harris II,Atlanta Braves,Philadelphia Phillies,Andrew Painter,1,Truist Park,100.0,9.4,Excellent,8.4,7.7,9.2,7.7,5.5,6.5,10.0,82.4,4.7224196,301.0,6.7,5.6,7.6,4.5,Lineup context + Pitcher vulnerability,False,0.7766666666666667,0.7766666666666667
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,669127,824952,682243,19,Shea Langeliers,Athletics,Seattle Mariners,Bryce Miller,4,Sutter Health Park,100.0,9.4,Excellent,7.5,9.8,9.6,9.8,5.5,6.6,7.0,75.56,8.2642343,319.0,7.8,8.0,5.0,2.4,Pitch-type matchup + Pitcher vulnerability,True,0.7716666666666666,0.7716666666666666
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,606466,825033,615698,20,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Cal Quantrill,2,Chase Field,213.0,9.3,Excellent,9.4,7.7,7.1,7.7,10.0,4.8,9.0,101.48,5.716613199999999,191.0,3.4,5.5,7.3,9.0,Ballpark + Hitter skill,True,0.765,0.765
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,701398,823734,688107,21,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,Robert Gasser,3,American Family Field,88.0,9.3,Excellent,8.3,8.4,8.3,8.4,5.0,6.1,8.0,69.08,12.1167345,286.0,3.4,7.8,8.2,9.3,Pitch-type matchup + Hitter skill,False,0.7618055555555555,0.7618055555555555
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,596019,823495,693645,22,Francisco Lindor,New York Mets,New York Yankees,Cam Schlittler,1,Yankee Stadium,117.0,9.3,Excellent,8.0,9.2,6.4,9.2,6.3,6.5,10.0,73.4,3.4175405,349.0,9.8,7.0,7.5,9.2,Lineup context + Recent power,False,0.7529166666666668,0.7529166666666668
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,682877,823734,688107,23,Juan Brito,Cincinnati Reds,Milwaukee Brewers,Robert Gasser,7,American Family Field,88.0,9.2,Excellent,8.4,9.4,8.3,9.4,5.0,6.1,4.0,69.08,12.1167345,286.0,9.5,9.6,3.2,4.6,Recent power + Pitch-type matchup,False,0.7520833333333334,0.7520833333333334
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,682998,825033,615698,24,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Cal Quantrill,5,Chase Field,213.0,9.2,Excellent,9.7,5.1,7.1,5.1,10.0,4.8,6.0,101.48,5.716613199999999,191.0,7.4,8.8,6.7,9.4,Ballpark + Hitter skill,True,0.7445833333333334,0.7445833333333334
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,701350,824708,702070,25,Roman Anthony,Boston Red Sox,Kansas City Royals,Noah Cameron,1,Fenway Park,92.0,9.2,Excellent,9.0,9.9,4.9,9.9,5.1,6.0,10.0,67.1,8.015685900000001,60.0,6.0,9.5,7.3,9.7,Lineup context + Pitch-type matchup,True,0.742638888888889,0.742638888888889
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,701538,823171,657277,26,Jackson Merrill,San Diego Padres,San Francisco Giants,Logan Webb,5,Oracle Park,139.0,9.1,Excellent,9.7,8.8,4.0,8.8,7.3,6.2,6.0,68.9,17.5847993,297.0,9.6,9.9,9.6,9.9,Hitter skill + Recent power,True,0.7408333333333333,0.7408333333333333
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,663993,823658,657746,27,Nathaniel Lowe,Cleveland Guardians,Minnesota Twins,Joe Ryan,5,Target Field,113.0,9.1,Excellent,9.4,4.2,8.9,4.2,6.1,6.0,6.0,68.18,8.326371400000001,278.0,9.7,7.3,3.9,6.3,Recent power + Hitter skill,False,0.7333333333333333,0.7333333333333333
2026-09-13,2026-09-13T15:52:43.788078+00:00,2026-09-12,projected_or_reconstructed,forecast_or_neutral,660670,824869,691725,28,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,Andrew Painter,2,Truist Park,100.0,9.1,Excellent,6.3,8.9,9.2,8.9,5.5,6.5,9.0,82.4,4.7224196,301.0,6.7,8.7,6.5,5.4,Pitcher vulnerability + Lineup context,False,0.7331944444444443,0.7331944444444443
