target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,606466,825035,677958.0,1,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,2,Chase Field,213.0,10.0,Elite,9.8,8.7,9.2,8.7,10.0,4.8,9.0,103.64,5.4059277,240.0,5.8,4.5,7.2,9.1,Ballpark + Hitter skill,True,0.8591666666666665,0.8591666666666665
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682998,825035,677958.0,2,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,5,Chase Field,213.0,10.0,Elite,9.7,8.0,9.2,8.0,10.0,4.8,6.0,103.64,5.4059277,240.0,3.4,8.2,7.3,9.4,Ballpark + Hitter skill,True,0.8345833333333333,0.8345833333333333
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,700250,823496,804267.0,3,Ben Rice,New York Yankees,New York Mets,Zac Thornton,1,Yankee Stadium,117.0,9.9,Elite,9.5,9.2,8.6,9.2,6.3,6.7,10.0,80.24000000000001,10.1283473,162.0,3.4,7.8,6.1,8.6,Lineup context + Hitter skill,True,0.8334722222222222,0.8334722222222222
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,641355,823496,804267.0,4,Cody Bellinger,New York Yankees,New York Mets,Zac Thornton,2,Yankee Stadium,117.0,9.9,Elite,10.0,7.2,8.6,7.2,6.3,6.7,9.0,80.24000000000001,10.1283473,162.0,6.8,6.6,8.2,7.9,Hitter skill + Lineup context,True,0.8262499999999998,0.8262499999999998
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,805808,824224,685299.0,5,Kevin McGonigle,Detroit Tigers,Colorado Rockies,Tanner Gordon,1,Comerica Park,100.0,9.9,Elite,9.9,6.5,9.5,6.5,5.5,6.7,10.0,80.6,8.7613311,220.0,9.0,7.1,4.3,4.9,Lineup context + Hitter skill,True,0.8198611111111112,0.8198611111111112
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,646240,823170,650633.0,6,Rafael Devers,San Francisco Giants,San Diego Padres,Michael King,2,Oracle Park,139.0,9.8,Elite,9.9,6.8,7.3,6.8,7.3,6.2,9.0,67.64,18.9518155,287.0,9.7,9.6,7.4,9.8,Hitter skill + Recent power,True,0.8120833333333333,0.8120833333333333
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665487,823170,702885.0,7,Fernando Tatis Jr.,San Diego Padres,San Francisco Giants,Cesar Perdomo,1,Oracle Park,139.0,9.8,Elite,9.1,9.5,6.0,9.5,7.3,6.2,10.0,67.64,18.9518155,287.0,6.8,9.7,9.7,9.7,Lineup context + Pitch-type matchup,True,0.7973611111111111,0.7973611111111111
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,671277,823496,804267.0,8,Luis García Jr.,New York Yankees,New York Mets,Zac Thornton,4,Yankee Stadium,117.0,9.8,Elite,7.5,9.9,8.6,9.9,6.3,6.7,7.0,80.24000000000001,10.1283473,162.0,9.6,9.2,8.2,7.2,Pitch-type matchup + Recent power,True,0.7963888888888889,0.7963888888888889
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,691406,822927,663567.0,9,Junior Caminero,Tampa Bay Rays,Houston Astros,Peter Lambert,3,Tropicana Field,107.0,9.7,Elite,9.5,8.7,6.6,8.7,5.8,5.8,8.0,86.53999999999999,2.485484,333.0,8.7,8.7,9.2,9.9,Hitter skill + Pitch-type matchup,True,0.7948611111111109,0.7948611111111109
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,596019,823496,543037.0,10,Francisco Lindor,New York Mets,New York Yankees,Gerrit Cole,1,Yankee Stadium,117.0,9.7,Elite,8.8,7.3,8.2,7.3,6.3,6.7,10.0,80.24000000000001,10.1283473,162.0,8.6,6.1,7.5,9.2,Lineup context + Hitter skill,True,0.7902777777777777,0.7902777777777777
